City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,belaya gora,68.5333,146.4167,-47.15,100,94,3.04,RU,1675809223
137,borehamwood,51.6547,-0.2776,37.08,95,6,0.0,GB,1675809223
138,san isidro,-12.1167,-77.05,78.39,69,40,14.97,PE,1675809223
139,kalat,29.0225,66.5916,45.7,41,60,9.84,PK,1675809224
140,kvitok,56.0724,98.4813,11.89,97,100,2.91,RU,1675809224
141,atambua,-9.1061,124.8925,76.23,84,69,0.87,ID,1675809224
142,weinan,34.5036,109.5089,42.64,63,100,4.74,CN,1675809224
143,cockburn town,21.4612,-71.1419,77.2,76,0,23.0,TC,1675809179
144,najran,17.4924,44.1277,65.05,62,13,7.23,SA,1675809225
145,tuktoyaktuk,69.4541,-133.0374,-27.4,75,100,0.0,CA,1675809225
146,asfi,32.2994,-9.2372,56.62,76,2,11.5,MA,1675809226
147,klaksvik,62.2266,-6.589,47.32,85,100,54.65,FO,1675809226
148,sidney,-33.8679,151.2073,76.6,73,75,6.91,AU,1675809050
149,ahipara,-35.1667,173.1667,70.43,59,97,7.38,NZ,1675809226
150,cabo san lucas,22.8909,-109.9124,79.61,54,85,4.0,MX,1675809041
151,verkhnevilyuysk,63.4453,120.3167,-43.4,100,100,1.52,RU,1675809227
152,saint-georges,12.0564,-61.7485,78.48,83,75,21.85,GD,1675809227
153,dolores,-36.3132,-57.6792,73.58,76,57,15.5,AR,1675809227
154,cheney,47.4874,-117.5758,41.34,82,100,16.11,US,1675809228
155,longyearbyen,78.2186,15.6401,21.04,93,100,23.02,SJ,1675809228
156,alcala de guadaira,37.3379,-5.8395,51.31,86,0,4.61,ES,1675809228
157,nome,64.5011,-165.4064,-4.85,91,0,3.44,US,1675809084
158,pisco,-13.7,-76.2167,80.65,65,0,20.71,PE,1675809171
159,kavieng,-2.5744,150.7967,81.46,78,100,10.04,PG,1675809229
160,mount gambier,-37.8333,140.7667,62.73,62,4,9.51,AU,1675809220
161,bara,10.3744,10.7288,73.18,22,26,9.64,NG,1675809229
162,victoria,22.2855,114.1577,64.45,91,91,8.99,HK,1675809230
163,morehead,37.2711,-87.1764,63.0,72,100,3.44,US,1675809126
164,constitucion,-35.3333,-72.4167,66.11,62,10,9.8,CL,1675809230
165,vila franca do campo,37.7167,-25.4333,55.81,82,83,11.88,PT,1675809230
166,zemio,5.0314,25.1361,73.22,22,25,4.34,CF,1675809231
167,hilo,19.7297,-155.09,73.13,96,100,5.01,US,1675809231
168,bangui,4.3612,18.555,77.74,18,17,3.11,CF,1675809231
169,sao gabriel da cachoeira,-0.1303,-67.0892,74.26,96,96,0.43,BR,1675809232
170,upata,8.0086,-62.3989,74.73,73,67,5.95,VE,1675809232
171,thompson,55.7435,-97.8558,1.56,85,100,4.61,CA,1675809232
172,gondanglegi,-7.7479,112.0132,73.56,95,100,0.67,ID,1675809233
173,port elizabeth,-33.918,25.5701,69.31,91,0,6.91,ZA,1675809233
174,airai,-8.9266,125.4092,64.08,90,93,1.61,TL,1675809233
175,tokat,40.4167,36.5833,9.61,96,100,1.68,TR,1675809234
176,felipe carrillo puerto,19.5833,-88.05,79.45,67,47,6.46,MX,1675809234
177,gouyave,12.1646,-61.7296,77.77,83,75,21.85,GD,1675809234
178,campechuela,20.2342,-77.2789,81.48,56,69,20.87,CU,1675809234
179,kurilsk,45.2333,147.8833,22.37,59,98,6.13,RU,1675809235
180,afogados da ingazeira,-7.7508,-37.6392,76.95,35,78,8.97,BR,1675809235
181,antofagasta,-23.65,-70.4,72.68,81,88,7.27,CL,1675809225
182,springdale,36.1867,-94.1288,45.68,94,100,6.91,US,1675808940
183,norman wells,65.282,-126.8329,-7.56,71,75,0.0,CA,1675809236
184,tchaourou,8.8865,2.5975,82.27,19,86,3.29,BJ,1675809236
185,kondinskoye,59.6481,67.41,-14.01,100,98,4.29,RU,1675809236
186,kaseda,31.4167,130.3167,52.0,77,96,11.83,JP,1675809237
187,kibala,9.1104,18.3463,80.92,13,3,4.23,TD,1675809237
188,beidao,34.5686,105.8933,37.06,93,100,3.89,CN,1675809237
189,tecoanapa,16.5167,-98.75,82.35,61,2,10.94,MX,1675809238
190,kavaratti,10.5669,72.642,79.74,71,97,12.08,IN,1675809238
191,teya,60.3778,92.6267,10.58,97,100,2.62,RU,1675809238
192,esperance,-33.8667,121.9,69.15,66,100,10.83,AU,1675809239
193,guerrero negro,27.9769,-114.0611,71.6,20,1,1.72,MX,1675809239
194,liku,-0.7275,119.8922,74.55,93,100,3.4,ID,1675809239
195,meulaboh,4.1363,96.1285,74.88,83,100,2.84,ID,1675809239
196,narsaq,60.9167,-46.05,-1.98,68,0,6.82,GL,1675809240
197,la ronge,55.1001,-105.2842,37.65,35,0,14.97,CA,1675809232
198,maputo,-25.9653,32.5892,74.88,94,100,4.61,MZ,1675809240
199,machico,32.7,-16.7667,60.01,74,75,8.05,PT,1675809241
200,saskylakh,71.9167,114.0833,-29.29,99,99,1.66,RU,1675809228
201,ouadda,8.0777,22.4007,75.27,13,4,8.57,CF,1675809241
202,namie,37.4833,141.0,40.71,87,100,11.9,JP,1675809241
203,comodoro rivadavia,-45.8667,-67.5,76.86,23,0,9.22,AR,1675809242
204,vigeland,58.0844,7.305,43.95,90,100,6.69,NO,1675809242
205,vengerovo,55.6848,76.7471,-0.71,98,96,4.68,RU,1675809245
206,carbonia,39.1672,8.5222,47.05,62,78,16.91,IT,1675809248
207,nyurba,63.2842,118.3319,-36.24,98,100,1.48,RU,1675809249
208,ilo,-17.6394,-71.3375,74.66,82,15,6.49,PE,1675809250
209,rocha,-34.4833,-54.3333,73.06,68,29,10.36,UY,1675809148
210,kendari,-3.945,122.4989,77.43,86,100,0.72,ID,1675809253
211,rio gallegos,-51.6226,-69.2181,64.45,48,40,21.85,AR,1675809232
212,bull savanna,17.8868,-77.5902,76.71,71,18,10.98,JM,1675809256
213,severo-kurilsk,50.6789,156.125,23.02,60,49,9.62,RU,1675809258
214,bundaberg,-24.85,152.35,82.22,67,50,5.99,AU,1675809260
215,ucluelet,48.9329,-125.5528,41.31,81,55,18.92,CA,1675809076
216,skibbereen,51.55,-9.2667,46.11,84,85,5.35,IE,1675809044
217,barreirinha,-2.7933,-57.07,76.42,94,94,0.31,BR,1675809278
218,khuzhir,53.1939,107.3397,5.43,92,80,3.38,RU,1675809280
219,roma,43.2128,-75.4557,41.83,63,100,9.22,US,1675809281
220,cururupu,-1.8283,-44.8683,74.82,93,100,2.91,BR,1675809282
221,faanui,-16.4833,-151.75,80.67,75,30,12.48,PF,1675809283
222,chokurdakh,70.6333,147.9167,-38.24,100,99,3.89,RU,1675809052
223,puerto del rosario,28.5004,-13.8627,60.55,63,20,5.75,ES,1675809283
